algorithm,instance_name,num_cities,run_index,best_cost,total_distance,is_feasible,elapsed_seconds
TS,tsptw_small_n25,25,0,499.0391930410583,499.0391930410583,True,10.772735099992133
TS,tsptw_small_n25,25,1,499.0391930410583,499.0391930410583,True,10.698016700000153
TS,tsptw_small_n25,25,2,499.0391930410583,499.0391930410583,True,10.223588199994992
TS,tsptw_small_n25,25,3,499.0391930410583,499.0391930410583,True,10.728187499989872
TS,tsptw_small_n25,25,4,499.0391930410583,499.0391930410583,True,10.51919479999924
TS,tsptw_small_n25,25,5,499.0391930410583,499.0391930410583,True,9.881776700000046
TS,tsptw_small_n25,25,6,499.0391930410583,499.0391930410583,True,9.439419300004374
TS,tsptw_small_n25,25,7,499.0391930410583,499.0391930410583,True,9.805345400003716
TS,tsptw_small_n25,25,8,499.0391930410583,499.0391930410583,True,9.03358859999571
TS,tsptw_small_n25,25,9,499.0391930410583,499.0391930410583,True,9.28654749999987
ACO,tsptw_small_n25,25,0,499.6086982641385,499.6086982641385,True,12.115982500006794
ACO,tsptw_small_n25,25,1,499.33914653221314,499.33914653221314,True,13.310783299995819
ACO,tsptw_small_n25,25,2,499.6086982641385,499.6086982641385,True,13.477255600009812
ACO,tsptw_small_n25,25,3,499.6086982641385,499.6086982641385,True,19.158664400005364
ACO,tsptw_small_n25,25,4,499.33914653221314,499.33914653221314,True,13.17525439999008
ACO,tsptw_small_n25,25,5,499.3087447729836,499.3087447729836,True,15.439201000001049
ACO,tsptw_small_n25,25,6,499.33914653221314,499.33914653221314,True,12.582698199999868
ACO,tsptw_small_n25,25,7,499.33914653221314,499.33914653221314,True,12.365079900002456
ACO,tsptw_small_n25,25,8,499.3087447729836,499.3087447729836,True,12.749011399995652
ACO,tsptw_small_n25,25,9,499.33914653221314,499.33914653221314,True,12.83146040000429
PSO,tsptw_small_n25,25,0,499.0391930410583,499.0391930410583,True,0.9963934999977937
PSO,tsptw_small_n25,25,1,353592.8997736378,541.331692644433,False,0.9235476000030758
PSO,tsptw_small_n25,25,2,2127836.130332482,652.6090133471283,False,0.8599870999896666
PSO,tsptw_small_n25,25,3,1226829.8147543324,593.7796677897985,False,0.9612851999991108
PSO,tsptw_small_n25,25,4,715687.7894346337,568.9059953339505,False,0.908622999995714
PSO,tsptw_small_n25,25,5,1847253.1869191928,501.73956141280036,False,0.965845700004138
PSO,tsptw_small_n25,25,6,2004199.2275078825,556.2150900155833,False,0.9715495999989798
PSO,tsptw_small_n25,25,7,303509.78965274163,511.8250241592017,False,1.0183068000042113
PSO,tsptw_small_n25,25,8,1528944.366839529,585.8927624677568,False,1.0413376999931643
PSO,tsptw_small_n25,25,9,266662.00515226397,521.5151270746827,False,0.8160849999985658
TS,tsptw_medium_n50,50,0,657.2053317002276,657.2053317002276,True,73.56442850000167
TS,tsptw_medium_n50,50,1,657.2053317002276,657.2053317002276,True,72.29430680000223
TS,tsptw_medium_n50,50,2,657.2053317002276,657.2053317002276,True,77.74242629999935
TS,tsptw_medium_n50,50,3,657.2053317002276,657.2053317002276,True,51.04250450000109
TS,tsptw_medium_n50,50,4,657.2053317002276,657.2053317002276,True,50.21870750001108
TS,tsptw_medium_n50,50,5,657.2053317002276,657.2053317002276,True,51.76779290000559
TS,tsptw_medium_n50,50,6,657.2053317002276,657.2053317002276,True,46.14776880000136
TS,tsptw_medium_n50,50,7,657.2053317002276,657.2053317002276,True,49.080865700001596
TS,tsptw_medium_n50,50,8,657.2053317002276,657.2053317002276,True,57.344733100006124
TS,tsptw_medium_n50,50,9,657.2053317002276,657.2053317002276,True,50.36876470000425
ACO,tsptw_medium_n50,50,0,662.0671309546273,662.0671309546273,True,13.479619799996726
ACO,tsptw_medium_n50,50,1,660.7182598643208,660.7182598643208,True,15.546700299993972
ACO,tsptw_medium_n50,50,2,666.6878081228002,666.6878081228002,True,12.461054300001706
ACO,tsptw_medium_n50,50,3,662.0671309546273,662.0671309546273,True,13.258514600005583
ACO,tsptw_medium_n50,50,4,662.0671309546273,662.0671309546273,True,9.989149699991685
ACO,tsptw_medium_n50,50,5,663.7020765054847,663.7020765054847,True,9.970655299999635
ACO,tsptw_medium_n50,50,6,662.0671309546273,662.0671309546273,True,10.402223199998843
ACO,tsptw_medium_n50,50,7,662.0671309546273,662.0671309546273,True,11.285578399998485
ACO,tsptw_medium_n50,50,8,660.7182598643208,660.7182598643208,True,10.11296470000525
ACO,tsptw_medium_n50,50,9,662.0671309546273,662.0671309546273,True,9.619126399993547
PSO,tsptw_medium_n50,50,0,10825564.889852686,989.3039823266179,False,0.7132065999903716
PSO,tsptw_medium_n50,50,1,20442908.15974097,1189.4117707587877,False,0.6041639000031864
PSO,tsptw_medium_n50,50,2,19811558.918677572,980.8138563739399,False,0.7865195000049425
PSO,tsptw_medium_n50,50,3,16800349.950689215,1102.8570977592797,False,0.8004688999935752
PSO,tsptw_medium_n50,50,4,19513940.816409443,951.4891352150871,False,0.6709498999989592
PSO,tsptw_medium_n50,50,5,18204280.919417717,1034.929731133544,False,0.7272424999973737
PSO,tsptw_medium_n50,50,6,12742014.821902832,954.1221979508541,False,0.6241834000102244
PSO,tsptw_medium_n50,50,7,16784534.89727659,857.5006845385396,False,0.6121000999992248
PSO,tsptw_medium_n50,50,8,20640207.592840347,1092.0280192640341,False,0.7019075999996858
PSO,tsptw_medium_n50,50,9,19097170.221819878,891.8791780869865,False,0.7924043999955757
TS,tsptw_large_n100,100,0,1035.573964203722,1035.573964203722,True,485.7959542000026
TS,tsptw_large_n100,100,1,1035.573964203722,1035.573964203722,True,539.9552436999948
TS,tsptw_large_n100,100,2,1039.2690515616412,1039.2690515616412,True,642.4730896999972
TS,tsptw_large_n100,100,3,1039.2690515616412,1039.2690515616412,True,548.2013600000064
TS,tsptw_large_n100,100,4,1035.573964203722,1035.573964203722,True,551.9794387000002
TS,tsptw_large_n100,100,5,1035.573964203722,1035.573964203722,True,560.3735006000061
TS,tsptw_large_n100,100,6,1035.573964203722,1035.573964203722,True,546.0202305999992
TS,tsptw_large_n100,100,7,1039.2690515616412,1039.2690515616412,True,579.1178819999914
TS,tsptw_large_n100,100,8,1035.573964203722,1035.573964203722,True,296.50721820000035
TS,tsptw_large_n100,100,9,1035.573964203722,1035.573964203722,True,279.52624070001184
ACO,tsptw_large_n100,100,0,1053.9573613386185,1053.9573613386185,True,28.08194740000181
ACO,tsptw_large_n100,100,1,11466.742563526026,1042.4473521953532,False,28.14581940000062
ACO,tsptw_large_n100,100,2,1049.8200861447535,1049.8200861447535,True,26.517905299988342
ACO,tsptw_large_n100,100,3,11828.840957949464,1046.5846273892182,False,38.08139079999819
ACO,tsptw_large_n100,100,4,1049.6948396466082,1049.6948396466082,True,37.966659400000935
ACO,tsptw_large_n100,100,5,83174.51913988989,1055.3093678123876,False,33.84157380000397
ACO,tsptw_large_n100,100,6,47974.67002580594,1037.23758213186,False,31.633417799996096
ACO,tsptw_large_n100,100,7,585601.4775586192,1100.5718045219064,False,29.91212560000713
ACO,tsptw_large_n100,100,8,899147.032213671,1002.7660424023996,False,29.007296299998416
ACO,tsptw_large_n100,100,9,12116.388030490016,1046.871887201946,False,23.535722300002817
PSO,tsptw_large_n100,100,0,61727353.60295231,1445.1875777034352,False,1.2505180000007385
PSO,tsptw_large_n100,100,1,26443879.0056938,1425.907234137018,False,1.241867100005038
PSO,tsptw_large_n100,100,2,48780941.59388668,1321.1946124223914,False,1.4734696999948937
PSO,tsptw_large_n100,100,3,51803868.9117116,1378.5897753939698,False,0.90397220000159
PSO,tsptw_large_n100,100,4,56547265.87772692,1478.9068902317663,False,1.260259100003168
PSO,tsptw_large_n100,100,5,56583837.59825815,1390.3251427125274,False,1.3110710000037216
PSO,tsptw_large_n100,100,6,72905794.99995013,1370.4357358432978,False,1.3306703999987803
PSO,tsptw_large_n100,100,7,46472317.51705759,1464.7974354763057,False,1.0870645999966655
PSO,tsptw_large_n100,100,8,51885118.60354125,1270.7242375408225,False,1.1800452000024961
PSO,tsptw_large_n100,100,9,52448161.93115364,1368.9912694604263,False,1.4058307000086643
