algorithm,parametro,valor,custo_medio,custo_desvio_padrao,tempo_medio_segundos
TS,tabu_tenure,5.0,499.0391930410583,0.0,3.3231598400016082
TS,tabu_tenure,15.0,499.0391930410583,0.0,3.683190040002228
TS,tabu_tenure,30.0,499.0391930410583,0.0,3.5840728200040757
ACO,beta,3.0,500.85131163832995,1.6376431950356576,3.128378319996409
ACO,beta,5.0,499.90575133658274,0.7363203828294937,3.1236456999962683
ACO,beta,8.0,499.50087757136845,0.1320528405001365,2.988482340000337
ACO,evaporation_rate,0.3,499.6840295991966,0.6897661339668958,3.0949955199990655
ACO,evaporation_rate,0.5,499.50087757136845,0.1320528405001365,3.334180179995019
ACO,evaporation_rate,0.7,499.7918502919667,0.6471817440550137,3.0650170999986583
PSO,seeded_fraction,0.0,2092643.4290654496,156254.47288122447,0.38762046000047123
PSO,seeded_fraction,0.3,884889.1346976254,742279.0968557822,0.44975913999660405
PSO,seeded_fraction,0.6,836731.8476194327,389190.1394321589,0.36645581999910065
